               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.032224,            0.022295,          0.00051335,             0.83867,             0.85905,             0.83748,             0.40005,            0.043788,            0.021621,           0.0009376,            0.004225,            0.004225,            0.004225
                  37,             0.03147,            0.022729,          0.00047423,             0.82031,             0.82696,              0.8214,             0.38059,            0.045467,            0.022525,          0.00072234,             0.00406,             0.00406,             0.00406
                  38,            0.031791,            0.021207,          0.00043355,             0.80696,             0.82374,             0.80539,             0.38229,            0.049308,            0.022185,          0.00068051,            0.003895,            0.003895,            0.003895
                  39,            0.031655,            0.021249,          0.00040853,             0.82475,             0.85048,             0.83908,              0.4313,            0.043744,            0.022032,          0.00056759,             0.00373,             0.00373,             0.00373
                  40,            0.030277,            0.021973,          0.00039341,             0.82835,             0.81345,             0.83811,             0.44309,            0.045411,            0.021546,          0.00067657,            0.003565,            0.003565,            0.003565
                  41,            0.029748,            0.021523,          0.00035825,             0.85254,             0.84895,             0.85441,             0.42664,             0.04346,            0.021955,          0.00062314,              0.0034,              0.0034,              0.0034
                  42,            0.029672,            0.020988,          0.00030945,             0.83162,             0.84275,             0.82425,             0.41025,            0.045082,            0.021602,          0.00048775,            0.003235,            0.003235,            0.003235
                  43,            0.030856,             0.02111,          0.00033902,             0.82864,             0.85205,             0.82677,             0.40739,             0.04471,            0.022081,          0.00048693,             0.00307,             0.00307,             0.00307
                  44,            0.028264,            0.019547,          0.00029643,              0.7824,             0.82605,             0.78261,             0.37465,              0.0476,             0.02278,          0.00051691,            0.002905,            0.002905,            0.002905
                  45,            0.028813,            0.019687,          0.00029236,             0.80647,             0.83424,             0.81611,             0.40505,            0.046873,            0.022854,          0.00051176,             0.00274,             0.00274,             0.00274
                  46,            0.028201,            0.019952,          0.00040504,             0.80483,             0.87736,             0.84562,             0.42171,            0.045036,            0.023144,          0.00038692,            0.002575,            0.002575,            0.002575
                  47,            0.028706,            0.021921,           0.0002519,             0.78677,             0.79874,             0.78454,             0.39294,            0.045933,            0.024155,          0.00063743,             0.00241,             0.00241,             0.00241
                  48,            0.027646,            0.019203,          0.00033154,             0.82005,             0.81025,              0.8112,             0.40027,            0.045812,            0.024195,          0.00058016,            0.002245,            0.002245,            0.002245
                  49,            0.028257,             0.02016,          0.00023539,             0.81332,             0.82908,             0.83038,             0.38761,            0.045944,            0.023122,          0.00062062,             0.00208,             0.00208,             0.00208
                  50,            0.027836,            0.020171,          0.00030708,             0.81321,             0.81754,             0.82226,             0.41205,            0.044568,            0.022971,          0.00056714,            0.001915,            0.001915,            0.001915
                  51,            0.027537,             0.01923,          0.00025679,             0.77937,             0.85297,             0.84403,             0.42093,            0.045184,            0.023141,          0.00059314,             0.00175,             0.00175,             0.00175
                  52,            0.026392,            0.017969,          0.00026771,             0.81547,             0.79454,             0.83982,             0.43207,            0.045118,            0.022992,          0.00079189,            0.001585,            0.001585,            0.001585
                  53,            0.026452,            0.018535,          0.00026342,              0.7982,             0.81964,             0.81486,             0.40278,             0.04577,            0.023928,          0.00094248,             0.00142,             0.00142,             0.00142
                  54,            0.026434,            0.019676,          0.00020716,             0.80145,              0.8359,             0.83467,             0.40514,               0.045,            0.023791,          0.00074969,            0.001255,            0.001255,            0.001255
                  55,            0.026039,            0.019298,          0.00023319,             0.83088,             0.82078,             0.83436,             0.40831,            0.044957,            0.023819,          0.00069015,             0.00109,             0.00109,             0.00109
                  56,            0.026113,            0.018667,          0.00019172,             0.80326,             0.84265,             0.82843,             0.43171,            0.044954,            0.023879,          0.00068951,            0.000925,            0.000925,            0.000925
                  57,            0.025691,             0.01812,          0.00017669,              0.7939,             0.83634,             0.82195,             0.39481,            0.045657,            0.023781,          0.00070695,             0.00076,             0.00076,             0.00076
                  58,            0.025247,            0.017803,          0.00017144,             0.81714,             0.82256,              0.8288,              0.3963,            0.045864,            0.023614,          0.00067238,            0.000595,            0.000595,            0.000595
                  59,            0.025417,            0.018513,          0.00020836,             0.80465,             0.84376,             0.83002,             0.41307,            0.045684,            0.023779,           0.0007062,             0.00043,             0.00043,             0.00043
